"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3856,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
54252,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
83848,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
133964,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
163832,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
213845,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
243864,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
293806,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
328113,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
373789,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
403905,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
454005,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
483975,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
533812,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
563944,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
613940,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
643831,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
693939,0000003B,false,Rx,0,8,27,FF,C0,55,5B,25,FF,DA
4604298,00000034,false,Rx,0,2,64,7E,00,00,00,00,00,00
4604298,00000034,false,Rx,0,2,64,7E,00,00,00,00,00,00
4684074,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
4734205,0000001B,false,Rx,0,8,26,FF,F9,B5,F4,28,CF,C2
4894006,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
4924163,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
4974190,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
5004090,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
5054174,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5084193,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
5133999,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
5164234,00000023,false,Rx,0,6,21,7D,A3,55,5B,27,00,00
10404305,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
10454334,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
10484481,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
10534485,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
10564536,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
10614532,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
10644471,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
10694460,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
10724543,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
10774404,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
10804352,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
11204513,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
11254517,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
11284377,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
11334446,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
11364577,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
11415078,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
11444473,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
11494422,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
11524714,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
11574494,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
11604521,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
11654439,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
11684442,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
11734535,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
11764522,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
11814774,0000001B,false,Rx,0,7,27,FF,D8,6D,0D,D9,D7,00
12404583,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
12454579,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
12484447,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
12534539,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
12564774,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
12614755,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
12654415,0000002F,false,Rx,0,5,21,7D,BD,05,9E,00,00,00
12694555,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
12734558,0000002F,false,Rx,0,5,23,E6,C2,05,2E,00,00,00
12774395,0000002F,false,Rx,0,5,25,B5,C2,05,5D,00,00,00
12814575,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
12854540,0000002F,false,Rx,0,5,28,CF,C2,05,40,00,00,00
12894481,0000002F,false,Rx,0,5,24,DA,B8,05,43,00,00,00
13214969,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
13244573,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
13294482,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
13329005,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
13374641,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
13404485,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
13454499,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
13484654,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
13535050,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
13564598,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
13615042,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
13644470,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
13694706,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
13724829,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
13774586,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
13804613,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
13854570,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
13884566,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
13934650,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
13964781,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
14014970,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
14044526,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
14094571,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
14124758,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
14174635,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
14204638,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
14254580,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
