"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
25015360,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
18048,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
48411,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
98191,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
128059,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
178128,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
208131,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
258072,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
288140,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
338169,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
368253,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
417986,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
458102,0000002F,false,Rx,0,5,28,CF,C2,05,40,00,00,00
498137,0000002F,false,Rx,0,5,24,DA,B8,05,43,00,00,00
538245,0000002F,false,Rx,0,5,27,70,C0,05,A2,00,00,00
578153,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
618164,0000002F,false,Rx,0,5,21,7D,BD,05,9E,00,00,00
658176,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
698187,0000002F,false,Rx,0,5,23,E6,C2,05,2E,00,00,00
738264,0000002F,false,Rx,0,5,25,B5,C2,05,5D,00,00,00
778164,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
808206,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
858234,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
888300,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
938481,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
968157,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
1018082,0000002F,false,Rx,0,5,27,C2,BD,05,53,00,00,00
1058166,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1088321,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1138222,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1168098,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
