"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9058640,00000023,false,Rx,0,5,25,A0,BE,00,7B,00,00,00
49474,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
83638,00000023,false,Rx,0,5,27,70,C0,00,A7,00,00,00
129506,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
159548,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
209401,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
239397,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
289528,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
319579,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
369567,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
399530,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
449557,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
479704,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
529500,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
559504,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
609500,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
639360,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
689733,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
719552,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
769685,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
799512,00000023,false,Rx,0,5,27,70,C0,00,A7,00,00,00
849500,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
879767,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
929610,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
959510,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
1009490,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1039533,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1089537,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1119525,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
1169937,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
1199572,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
1249599,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
1279659,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
1329361,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1359588,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
1409441,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
1439604,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
1489409,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
1519477,00000023,false,Rx,0,5,27,70,C0,00,A7,00,00,00
1569858,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1599612,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1649449,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1679637,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
1729458,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1759534,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1809515,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1839495,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
1889626,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
1919693,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
1969881,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
1999628,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2049433,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2084541,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
2129513,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2159581,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
2209578,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
2239644,00000023,false,Rx,0,5,27,70,C0,00,A7,00,00,00
2289505,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2319659,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
2369816,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2399516,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
2449624,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2480204,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2529560,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2559644,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
2609465,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
2639612,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
2689559,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2719412,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2769816,0000002F,false,Rx,0,5,28,CF,C2,05,40,00,00,00
2809531,0000002F,false,Rx,0,5,24,DA,B8,05,43,00,00,00
2849527,0000002F,false,Rx,0,5,27,70,C0,05,A2,00,00,00
2889562,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
2929621,0000002F,false,Rx,0,5,21,7D,BD,05,9E,00,00,00
2969937,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
3010261,0000002F,false,Rx,0,5,23,E6,C2,05,2E,00,00,00
3049625,0000002F,false,Rx,0,5,25,B5,C2,05,5D,00,00,00
3089636,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
