Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,,
12240055,00000023,FALSE,Rx,0,5,24,DA,B8,00,48,00,00,00,,,
13498,0000002F,FALSE,Rx,0,5,26,4E,BD,05,C8,00,00,00,,BD4E,48462
53549,0000002F,FALSE,Rx,0,5,28,CF,C2,05,40,00,00,00,,C2CF,49871
93602,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
93602,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
173425,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
203428,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
253521,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
283508,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
603554,00000023,FALSE,Rx,0,5,25,B5,C2,00,62,00,00,00,,,
653574,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
683745,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
733486,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
763489,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
813574,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
843497,00000023,FALSE,Rx,0,5,24,DA,B8,00,48,00,00,00,,,
893622,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
923545,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
973549,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
1003401,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
1053462,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
1083578,00000023,FALSE,Rx,0,3,21,7D,A3,00,00,00,00,00,,,
1133542,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
1163585,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
1213526,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
1243569,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
1293862,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
1323616,00000023,FALSE,Rx,0,5,25,B5,C2,00,62,00,00,00,,,
1373477,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
1403464,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
1453549,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
1483513,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
1533621,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
1563497,00000023,FALSE,Rx,0,5,24,DA,B8,00,48,00,00,00,,,
1613542,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
1643593,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
1693758,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
1723600,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
1773565,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
1803417,00000023,FALSE,Rx,0,3,21,7D,A3,00,00,00,00,00,,,
1853447,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
1883515,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
1933646,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
1963569,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
2013662,0000002F,FALSE,Rx,0,5,25,1E,BD,05,F9,00,00,00,,BD1E,48414
2053554,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
2083692,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
2133537,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
2163565,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
2213665,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
2243588,00000023,FALSE,Rx,0,5,24,DA,B8,00,48,00,00,00,,,
2293984,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
2323972,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
2373521,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
2403524,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
2453601,0000002F,FALSE,Rx,0,5,21,AD,C2,05,69,00,00,00,,C2AD,49837
2493909,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
2523639,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
2573628,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
2603671,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
2653547,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
2683959,00000023,FALSE,Rx,0,5,25,29,C2,00,EE,00,00,00,,,
2733619,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
2763471,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
2813636,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
2843481,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
2893742,0000002F,FALSE,Rx,0,5,24,50,C7,05,BE,00,00,00,,C750,51024
2933618,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
2963668,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
3013586,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
3043573,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
3093707,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
3123630,00000023,FALSE,Rx,0,5,21,09,BE,00,17,00,00,00,,,
3173595,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
3203582,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
3253667,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
3283829,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
3333737,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
3363660,00000023,FALSE,Rx,0,5,25,86,C1,00,92,00,00,00,,,
3413784,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
3443723,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
3493904,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
3523540,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
3573617,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
3603620,00000023,FALSE,Rx,0,5,24,6F,B9,00,B2,00,00,00,,,
3653601,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
3683692,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
3733657,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
3763684,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
3813792,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
3843755,00000023,FALSE,Rx,0,5,21,B6,BE,00,69,00,00,00,,,
3893815,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
3923778,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
3973615,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
