"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
19094754,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
6376,0000002F,false,Rx,0,5,23,BD,C1,05,58,00,00,00
46341,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
76440,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
126452,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
156703,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
206356,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
236359,00000023,false,Rx,0,5,28,30,BD,00,E9,00,00,00
286324,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
316632,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
366444,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
396471,00000023,false,Rx,0,5,27,11,C2,00,05,00,00,00
446420,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
476399,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
526284,0000002F,false,Rx,0,5,21,7D,BD,05,9E,00,00,00
566256,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
606411,0000002F,false,Rx,0,5,23,8A,C1,05,8B,00,00,00
646368,0000002F,false,Rx,0,5,25,4A,BD,05,CD,00,00,00
686403,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
726240,0000002F,false,Rx,0,5,28,30,BD,05,E4,00,00,00
766292,0000002F,false,Rx,0,5,24,DA,B8,05,43,00,00,00
806408,0000002F,false,Rx,0,5,27,11,C2,05,00,00,00,00
846531,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
886447,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
916362,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
966264,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
996523,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1046487,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1076506,00000023,false,Rx,0,5,23,8A,C1,00,90,00,00,00
1126359,0000002F,false,Rx,0,5,25,E1,C2,05,31,00,00,00
1166499,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
1196526,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
1246443,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1276446,00000023,false,Rx,0,5,28,30,BD,00,E9,00,00,00
1326739,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
1356782,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
1406450,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
1436485,00000023,false,Rx,0,5,27,11,C2,00,05,00,00,00
1486314,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1516477,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1566442,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1596453,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
1646561,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1676476,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1726512,0000002F,false,Rx,0,5,23,12,C3,05,02,00,00,00
1766412,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
1796566,00000023,false,Rx,0,5,25,D6,BD,00,46,00,00,00
2246604,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2276662,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2326546,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2356797,00000023,false,Rx,0,5,23,0D,C2,00,0D,00,00,00
2406426,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
2436597,00000023,false,Rx,0,7,25,70,BE,00,AB,C0,5C,00
2646529,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2677029,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
2726435,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
2756805,00000023,false,Rx,0,5,27,7B,C1,00,9B,00,00,00
2806403,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2836486,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
2886396,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2916480,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
2966533,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
