"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8716686,00000023,false,Rx,0,5,28,FB,C2,00,19,00,00,00
16457,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
66518,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
96394,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
146311,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
176642,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
226344,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
256467,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
306575,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
336331,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
386488,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
416484,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
466584,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
496484,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
546488,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
576676,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
626432,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
656459,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
706567,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
736308,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
786624,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
816515,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
866639,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
896578,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
946439,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
976690,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
1026446,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1056473,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1106566,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1136505,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
1186581,0000002F,false,Rx,0,5,25,1E,BD,05,F9,00,00,00
1226434,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
1256437,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
1306529,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1336397,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
1386458,0000002F,false,Rx,0,5,24,DA,B8,05,43,00,00,00
1426295,0000002F,false,Rx,0,5,27,EE,BD,05,27,00,00,00
1466507,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
1506518,0000002F,false,Rx,0,5,21,7D,BD,05,9E,00,00,00
1546371,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
1586591,0000002F,false,Rx,0,5,23,E6,C2,05,2E,00,00,00
1626490,0000002F,false,Rx,0,5,25,1E,BD,05,F9,00,00,00
1666598,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
1706466,0000002F,false,Rx,0,5,28,CF,C2,05,40,00,00,00
1746415,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
1776563,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
1826560,0000002F,false,Rx,0,5,27,3D,C2,05,D3,00,00,00
1866500,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1896975,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1946547,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1976631,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
2026492,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2056519,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2106588,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2136503,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
2186738,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
2216701,00000023,false,Rx,0,5,25,D2,C1,00,46,00,00,00
2266882,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2296589,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2346546,0000002F,false,Rx,0,5,28,04,BD,05,11,00,00,00
2386630,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2416680,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
2467012,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
2496576,00000023,false,Rx,0,5,27,7A,BE,00,9F,00,00,00
2546517,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2576848,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
2626668,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2656591,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
2706683,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2736622,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2786707,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2816567,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
2866963,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
2896631,00000023,false,Rx,0,5,25,2F,C1,00,E9,00,00,00
2946619,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2976886,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
3026484,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
3056607,00000023,false,Rx,0,5,28,39,C2,00,DB,00,00,00
3106699,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
3136599,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
3186644,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
3216631,00000023,false,Rx,0,5,27,27,BF,00,F1,00,00,00
3267044,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
3296607,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
3346556,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
3380887,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
3426588,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
3456719,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
3506707,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
3536622,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
3586691,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
3616718,00000023,false,Rx,0,5,25,82,C0,00,97,00,00,00
3667003,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
3696725,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
3746737,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
3776884,00000023,false,Rx,0,5,28,8C,C1,00,89,00,00,00
3826641,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
