"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1561234,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1591342,00000023,false,Rx,0,5,21,51,BD,00,CF,00,00,00
1641283,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1671679,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1721196,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1751288,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
1801404,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
1831342,00000023,false,Rx,0,5,25,E1,C2,00,36,00,00,00
1881370,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
1911558,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
1961354,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1991405,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
2041432,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2071196,00000023,false,Rx,0,5,24,25,C1,00,F4,00,00,00
2121265,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
2151420,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
2201928,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2231323,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
2281249,0000002F,false,Rx,0,5,21,F9,BC,05,23,00,00,00
2321357,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2351329,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2401437,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2431687,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
2481348,0000002F,false,Rx,0,5,25,39,C3,05,D8,00,00,00
2521352,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2551340,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2601408,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2631253,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
2681298,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2711709,00000023,false,Rx,0,5,24,8B,C0,00,8F,00,00,00
2761409,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
2791389,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
2841497,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2871452,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
2921456,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2951483,00000023,false,Rx,0,5,21,38,BD,40,A8,00,00,00
3001456,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
3031371,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
3081312,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
3111476,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
3161282,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
3191373,00000023,false,Rx,0,5,25,2E,C3,40,A8,00,00,00
3241505,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
3271261,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
3321338,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
3351492,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
3401504,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
3431483,00000023,false,Rx,0,5,24,DE,BF,00,3D,00,00,00
3481312,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
3511523,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
3561423,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
3591427,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
3641360,0000002E,false,Rx,0,5,21,FE,FF,FF,DF,00,00,00
3671371,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
3701495,00000023,false,Rx,0,5,21,38,BD,02,E6,00,00,00
3751499,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
3781422,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
3831418,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
3861461,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
3911634,0000002E,false,Rx,0,5,25,FE,FF,FF,DB,00,00,00
3941461,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
3971344,00000023,false,Rx,0,5,25,2E,C3,02,E6,00,00,00
4021413,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
4051568,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
4101756,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
4131288,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
4181524,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
4211584,00000023,false,Rx,0,5,24,23,BF,00,F8,00,00,00
4261508,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
4291408,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
4341364,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
4371336,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
4421421,0000002C,false,Rx,0,5,21,7D,BD,FF,A3,00,00,00
4451856,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
4481467,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
4531424,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
4561428,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
4611592,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
4641452,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
4691449,0000002C,false,Rx,0,5,25,B5,C2,FF,62,00,00,00
4721468,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
4751456,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
4801564,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
4831479,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
4881444,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
4911584,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
4961468,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
4991519,00000023,false,Rx,0,5,24,67,BE,00,B5,00,00,00
5041468,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
5071503,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
5121452,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5151607,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
5201764,0000002E,false,Rx,0,5,21,FC,FF,FF,E1,00,00,00
5231479,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
5261459,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
5311600,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
5341492,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
5391417,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
5421572,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
5471401,0000002E,false,Rx,0,5,25,FC,FF,FF,DD,00,00,00
5501683,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
5531494,00000023,false,Rx,0,5,25,B5,C2,00,62,00,00,00
5581626,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
5611749,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
5661673,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
5691573,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
5741498,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
5771517,00000023,false,Rx,0,5,24,AC,BD,00,71,00,00,00
5821450,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
5851693,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
5901499,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5931471,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
5981540,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
6015870,00000023,false,Rx,0,3,21,7D,A3,00,00,00,00,00
6061634,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
6091517,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
6141563,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
6171670,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
6221403,0000002F,false,Rx,0,5,25,B5,C2,05,5D,00,00,00
6261519,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
6301499,0000002F,false,Rx,0,5,28,CF,C2,05,40,00,00,00
6341638,0000002F,false,Rx,0,4,24,AE,B8,6F,00,00,00,00
6381522,0000002F,false,Rx,0,5,27,EE,BD,05,27,00,00,00
6421510,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
6461451,0000002F,false,Rx,0,5,21,7D,BD,05,9E,00,00,00
