"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
15532005,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
11004,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
40864,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
91094,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
120866,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
170775,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
201043,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
250967,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
280874,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
330815,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
360787,00000023,false,Rx,0,5,21,81,C2,00,9A,00,00,00
411023,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
440930,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
491207,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
520875,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
570785,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
601163,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
650959,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
680859,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
730792,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
760978,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
811006,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
840889,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
890982,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
920881,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
970814,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1001187,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1050998,0000002F,false,Rx,0,5,21,51,BD,05,CA,00,00,00
1091002,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1120846,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1170915,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1201286,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
1250946,0000002F,false,Rx,0,5,25,E1,C2,05,31,00,00,00
1291023,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
1320898,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
1371006,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1401106,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
1451030,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
1480953,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
1530894,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
1561056,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
1611084,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1640952,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1691060,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1720936,00000023,false,Rx,0,5,21,F4,C1,00,28,00,00,00
1770853,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1801216,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1850997,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
1881063,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
1930924,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
1960872,00000023,false,Rx,0,5,25,DF,BD,00,3D,00,00,00
2011108,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2040968,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2090989,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2120969,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
2171101,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2201185,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
2251124,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
2281047,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
2331051,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2360919,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
2410964,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2441119,00000023,false,Rx,0,5,21,47,C1,00,D5,00,00,00
2491147,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2521046,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2571034,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2601118,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
2650955,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
2680904,00000023,false,Rx,0,5,25,8C,BE,00,8F,00,00,00
2731139,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2761062,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2811155,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2841031,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
2891154,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2921030,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
2970971,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
3001432,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
3051171,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
3081134,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
3131161,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
3161084,00000023,false,Rx,0,5,21,9A,C0,00,83,00,00,00
3211025,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
3241156,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
3291082,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
3321125,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
3371152,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
3401276,00000023,false,Rx,0,5,25,3A,BF,00,E0,00,00,00
3451048,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
3481051,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
