"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8561231,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
1704738,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
1734741,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
1785010,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
1814646,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
1864715,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1894695,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
1944795,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1974943,00000023,false,Rx,0,5,21,12,BE,00,0E,00,00,00
2024804,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2054863,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
2104859,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
2134743,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
2185147,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
2214838,00000023,false,Rx,0,5,25,67,BD,00,B5,00,00,00
2264644,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
2294712,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
2344796,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2375257,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
2424813,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
2454777,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
2504901,0000001B,false,Rx,0,4,27,FF,D8,FD,00,00,00,00
3985148,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
4014983,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
4064867,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
4094855,00000023,false,Rx,0,5,21,10,C0,00,0E,00,00,00
4144668,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
4185041,0000002F,false,Rx,0,5,23,E6,C2,05,2E,00,00,00
4224758,0000002F,false,Rx,0,5,25,C6,BC,05,52,00,00,00
4464941,0000002F,false,Rx,0,5,21,AD,C2,05,69,00,00,00
4504913,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
4534877,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
4585209,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
4614861,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
4664953,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
4695004,00000023,false,Rx,0,5,25,C6,BC,00,57,00,00,00
4744896,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
4774837,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
4825072,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
4854821,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
4904881,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
4934838,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
4985226,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
5014894,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
5065291,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5094831,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
5144931,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
5175278,00000023,false,Rx,0,5,21,13,C1,00,0A,00,00,00
5225098,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
5254846,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
5305074,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
5335012,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
5385209,0000002E,false,Rx,0,5,25,FE,FF,FF,DB,00,00,00
5415020,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
5444935,00000023,false,Rx,0,5,25,C6,BC,02,55,00,00,00
5494868,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
5524960,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
5575237,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
5604873,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
5654942,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
5685177,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
5734933,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
5764961,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
5815092,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5844833,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
5895068,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
5925135,00000023,false,Rx,0,5,21,C7,C1,00,55,00,00,00
5975268,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
6005119,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
6055131,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
6085366,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
6135073,0000002C,false,Rx,0,5,25,4A,BD,FF,D2,00,00,00
6164989,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
6195016,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
6245012,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
6274992,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
6314948,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
6344912,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
6395005,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
6424992,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
6475230,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
6505001,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
6555133,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
6585256,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
6635037,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
6665072,00000023,false,Rx,0,5,21,79,C2,00,A2,00,00,00
6714997,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
6745008,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
6794941,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
6825033,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
6875469,0000002E,false,Rx,0,5,25,FC,FF,FF,DD,00,00,00
6905041,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
6935068,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
6985337,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
7015171,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
7065056,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
7095106,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
7144912,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
7175467,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
7225167,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
7255066,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
7305190,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
7335137,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
7385325,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
7415144,00000023,false,Rx,0,5,21,AD,C2,00,6E,00,00,00
7464950,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
7495034,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
7545173,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
7575345,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
7625086,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
7655113,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
7705070,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
7735074,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
7785406,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
7815073,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
7865054,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
7895042,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
7944951,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
7975308,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
8025208,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
8055068,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
8105144,0000002F,false,Rx,0,5,21,05,C3,05,11,00,00,00
8145164,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
8175534,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
8225211,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
8255094,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
8305163,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
8335206,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
8385347,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
8415127,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
8465107,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
8495095,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
8545242,0000001B,false,Rx,0,3,24,FF,DB,00,00,00,00,00
8575079,00000023,false,Rx,0,5,24,DA,B8,00,48,00,00,00
8625132,0000001B,false,Rx,0,3,27,FF,D8,00,00,00,00,00
8655135,00000023,false,Rx,0,5,27,EE,BD,00,2C,00,00,00
8705275,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
8735198,00000023,false,Rx,0,5,B1,80,7F,04,4A,00,00,00
8785506,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
8815237,00000023,false,Rx,0,5,21,EC,C2,40,EE,00,00,00
8865121,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
8895125,00000023,false,Rx,0,5,22,8A,BD,00,95,00,00,00
8945074,0000001B,false,Rx,0,3,23,FF,DC,00,00,00,00,00
8975572,00000023,false,Rx,0,5,23,E6,C2,00,33,00,00,00
9025264,0000001B,false,Rx,0,3,25,FF,DA,00,00,00,00,00
9055211,00000023,false,Rx,0,5,25,4A,BD,00,D2,00,00,00
9105503,0000001B,false,Rx,0,3,26,FF,D9,00,00,00,00,00
9134931,00000023,false,Rx,0,5,26,4E,BD,00,CD,00,00,00
9185432,0000002F,false,Rx,0,5,28,CF,C2,05,40,00,00,00
9225084,0000002F,false,Rx,0,5,24,DA,B8,05,43,00,00,00
9265064,0000002F,false,Rx,0,5,27,EE,BD,05,27,00,00,00
9305180,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
9345025,0000002E,false,Rx,0,5,21,FE,FF,FF,DF,00,00,00
9375436,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
9405143,00000023,false,Rx,0,5,21,EC,C2,02,2D,00,00,00
9455139,0000002F,false,Rx,0,5,22,8A,BD,0D,88,00,00,00
9495135,0000002F,false,Rx,0,5,23,E6,C2,05,2E,00,00,00
9535084,0000002F,false,Rx,0,5,25,4A,BD,05,CD,00,00,00
9575464,0000002F,false,Rx,0,5,26,4E,BD,05,C8,00,00,00
9615101,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
9645049,00000023,false,Rx,0,5,28,CF,C2,00,45,00,00,00
